user_id,long_pos_pty,short_pos_qty,mark_price,fee,real_fee
"7706256",14,0,106.4073558093698215,-0.000815733079163280266,"-0.0033172959057179"
"7712888",27,30,106.4073558093698215,0.000174799945534988562,"0.0007108491226538"
"7738777",100,0,106.4073558093698215,-0.005826664851166287446,"-0.0236949707551281"
"7752615",2,0,106.4073558093698215,-0.00011653329702332577,"-0.0004738994151026"
"7770745",182,0,106.4073558093698215,-0.010604530029122643148,"-0.0431248467743331"
"7781659",0,100,106.4073558093698215,0.005826664851166287384,"0.0236949707551271"
"7783929",30,0,106.4073558093698215,-0.00174799945534988624,"-0.0071084912265384"
"7788862",88,0,106.4073558093698215,-0.00512746506902633295,"-0.0208515742645127"
"7887726",0,20,106.4073558093698215,0.001165332970233257452,"0.0047389941510254"
"8055585",0,70,106.4073558093698215,0.004078665395816401144,"0.0165864795285890"
"8067180",45,0,106.4073558093698215,-0.00262199918302482936,"-0.0106627368398076"
"8073744",0,1,106.4073558093698215,0.000058266648511662854,"0.0002369497075513"
"8076144",21,0,106.4073558093698215,-0.001223599618744920368,"-0.0049759438585769"
"8190848",3200,0,106.4073558093698215,-0.186453275237321197466,"-0.7582390641640988"
"8206800",0,30,106.4073558093698215,0.001747999455349886178,"0.0071084912265381"
"8220449",1,2,106.4073558093698215,0.000058266648511662854,"0.0002369497075513"
"8227123",100,200,106.4073558093698215,0.005826664851166287384,"0.0236949707551271"
"8230161",38,0,106.4073558093698215,-0.002214132643443189258,"-0.0090040888869487"
"8251528",200,0,106.4073558093698215,-0.011653329702332574892,"-0.0473899415102562"
"8268321",301,0,106.4073558093698215,-0.017538261202010525192,"-0.0713218619729355"
"8287873",1,0,106.4073558093698215,-0.000058266648511662916,"-0.0002369497075513"
"8331258",20,0,106.4073558093698215,-0.001165332970233257514,"-0.0047389941510256"
"8344484",0,1100,106.4073558093698215,0.064093313362829161596,"0.2606446783063986"
"8367431",0,1736,106.4073558093698215,0.101150901816246749574,"0.4113446923090073"
"8370526",10,0,106.4073558093698215,-0.000582666485116628788,"-0.0023694970755128"
"8372606",470,8,106.4073558093698215,-0.02691919161238824791,"-0.1094707648886918"
"8384846",0,9,106.4073558093698215,0.00052439983660496581,"0.0021325473679614"
"8385994",14,0,106.4073558093698215,-0.000815733079163280266,"-0.0033172959057179"
"8416084",181,0,106.4073558093698215,-0.010546263380610980232,"-0.0428878970667818"
"8469665",30,0,106.4073558093698215,-0.00174799945534988624,"-0.0071084912265384"
"8480792",1800,0,106.4073558093698215,-0.104879967320993173594,"-0.4265094735923056"
"8490083",1165,621,106.4073558093698215,-0.031697056790344603612,"-0.1289006409078968"
"8490466",8,7,106.4073558093698215,-0.000058266648511662916,"-0.0002369497075513"
"8524895",147,0,106.4073558093698215,-0.008565197331214442514,"-0.0348316070100383"
"8526331",0,13040,106.4073558093698215,0.759797096592083879474,"3.0898241864685801"
"8542651",66,0,106.4073558093698215,-0.003845598801769749728,"-0.0156386806983845"
"8558525",9,0,106.4073558093698215,-0.000524399836604965872,"-0.0021325473679615"
"8574421",35,0,106.4073558093698215,-0.002039332697908200634,"-0.0082932397642948"
"8593883",200,0,106.4073558093698215,-0.011653329702332574892,"-0.0473899415102562"
"8618628",0,478,106.4073558093698215,0.027851457988574853822,"0.1132619602095078"
"8621056",1500,0,106.4073558093698215,-0.087399972767494311318,"-0.3554245613269213"
"8642272",300,0,106.4073558093698215,-0.017479994553498862276,"-0.0710849122653843"
"8644115",30,0,106.4073558093698215,-0.00174799945534988624,"-0.0071084912265384"
"8689302",5000,0,106.4073558093698215,-0.291333242558314370998,"-1.1847485377564044"
"8692769",20,0,106.4073558093698215,-0.001165332970233257514,"-0.0047389941510256"
"8693875",159,0,106.4073558093698215,-0.00926439711335439701,"-0.0376750035006537"
"8694944",40,0,106.4073558093698215,-0.002330665940466515028,"-0.0094779883020512"
"8706006",0,150,106.4073558093698215,0.008739997276749431076,"0.0355424561326907"
"8708382",0,115,106.4073558093698215,0.006700664578841230504,"0.0272492163683962"
"8712741",0,2364,106.4073558093698215,0.137742357081571034534,"0.5601491086512058"
"8712812",1,8223,106.4073558093698215,0.479068384062892151624,"1.9482004954865541"
"8734105",20,0,106.4073558093698215,-0.001165332970233257514,"-0.0047389941510256"
"8742562",250,0,106.4073558093698215,-0.014566662127915718584,"-0.0592374268878202"
"8750817",60,0,106.4073558093698215,-0.00349599891069977248,"-0.0142169824530769"
"8752545",40,0,106.4073558093698215,-0.002330665940466515028,"-0.0094779883020512"
"8754231",1000,0,106.4073558093698215,-0.058266648511662874212,"-0.2369497075512809"
"8791366",0,2560,106.4073558093698215,0.149162620189856957886,"0.6065912513312550"
"8794797",150,0,106.4073558093698215,-0.008739997276749431138,"-0.0355424561326921"
"8800686",0,6570,106.4073558093698215,0.382811880721625083398,"1.5567595786118536"
"8803513",2200,0,106.4073558093698215,-0.128186626725658323254,"-0.5212893566128179"
"8890086",380,0,106.4073558093698215,-0.022141326434431892208,"-0.0900408888694867"
"8901389",0,3875,106.4073558093698215,0.225783262982693637494,"0.9181801167611770"
"8903741",0,3718,106.4073558093698215,0.216635399166362566254,"0.8809790126756274"
"8907086",49,0,106.4073558093698215,-0.002855065777071480838,"-0.0116105356700128"
"8907095",0,401,106.4073558093698215,0.023364926053176812514,"0.0950168327280599"
"8930254",0,17,106.4073558093698215,0.000990533024698268828,"0.0040281450283716"
"8937834",0,1,106.4073558093698215,0.000058266648511662854,"0.0002369497075513"
"8982625",935,0,106.4073558093698215,-0.0544793163584047874,"-0.2215479765604476"
"8985284",428,0,106.4073558093698215,-0.024938125562991710192,"-0.1014144748319482"
"8991691",0,394,106.4073558093698215,0.022957059513595172412,"0.0933581847752010"
"9042159",0,1370,106.4073558093698215,0.079825308460978137632,"0.3246210993452419"
"9065877",0,874,106.4073558093698215,0.050925050799193352004,"0.2070940443998113"
"9104349",5,27,106.4073558093698215,0.001281866267256583222,"0.0052128935661280"
"9115294",0,12,106.4073558093698215,0.000699199782139954434,"0.0028433964906153"
"9115295",0,33,106.4073558093698215,0.001922799400884874802,"0.0078193403491920"
"9117283",0,250,106.4073558093698215,0.014566662127915718522,"0.0592374268878179"
"9118449",350,0,106.4073558093698215,-0.02039332697908200603,"-0.0829323976429483"
"9119497",1000,0,106.4073558093698215,-0.058266648511662874212,"-0.2369497075512809"
