"user_id","long_pos_qty","short_pos_qty","funding_fee"
"6120757","88.0000000000000000","0E-16","-0.0077467491218664"
"6124360","0E-16","608.0000000000000000","0.0535229939328953"
"6128258","74.0000000000000000","0E-16","-0.0065143117615695"
"6128907","20.0000000000000000","0E-16","-0.0017606248004242"
"6131723","18.0000000000000000","0E-16","-0.0015845623203818"
"6135044","1129.0000000000000000","1537.0000000000000000","0.0359167459286534"
"6136553","0E-16","152.0000000000000000","0.0133807484832238"
"6137551","82.0000000000000000","0E-16","-0.0072185616817392"
"6137570","100.0000000000000000","20.0000000000000000","-0.0070424992016967"
"6139525","302.0000000000000000","0E-16","-0.0265854344864052"
"6140484","0E-16","200.0000000000000000","0.0176062480042419"
"6150589","0E-16","10.0000000000000000","0.0008803124002121"
"6150810","0E-16","556.0000000000000000","0.0489453694517924"
"6151932","0E-16","40.0000000000000000","0.0035212496008484"
"6152620","500.0000000000000000","0E-16","-0.0440156200106047"
"6152877","61.0000000000000000","0E-16","-0.0053699056412938"
"6153852","202.0000000000000000","0E-16","-0.0177823104842843"
"6154406","104.0000000000000000","0E-16","-0.0091552489622058"
"6159547","0E-16","2238.0000000000000000","0.1970139151674666"
"6161130","100.0000000000000000","0E-16","-0.0088031240021209"
"6162009","0E-16","1200.0000000000000000","0.1056374880254512"
"6164653","6.0000000000000000","0E-16","-0.0005281874401273"
"6167201","401.0000000000000000","0E-16","-0.0353005272485050"
"6167632","23.0000000000000000","0E-16","-0.0020247185204878"
"6171188","40.0000000000000000","100.0000000000000000","0.0052818744012726"
"6172220","2000.0000000000000000","0E-16","-0.1760624800424187"
"6172815","20.0000000000000000","0E-16","-0.0017606248004242"
"6174008","197.0000000000000000","0E-16","-0.0173421542841782"
"6174895","144.0000000000000000","0E-16","-0.0126764985630541"
"6175826","0E-16","2693.0000000000000000","0.2370681293771168"
"6175836","2400.0000000000000000","1158.0000000000000000","-0.1093348001063420"
"6179384","8.0000000000000000","0E-16","-0.0007042499201697"
