"id","coin_id","contract_id","mark_price","basis_ema","spot_index_price","best_bid","best_ask","mark_price_factor","mp_alpha_factor","mp_lag","generate_time","mark_price_max_ema","side","status","modify_time","create_time","dt","last_price"
"375786655133222912","1","101","46.4455484712953528","0.0025934512953528","46.4429550200000000","46.4500000000000000","46.4100000000000000","0.9516038388639270","0.1353000000000000","10.0000000000000000","1574755200180","0.2000000000000000","23","1","2019-11-26 16:00:00","2019-11-26 16:00:00","248","0E-16"
"375787202707998720","1","101","46.3800000000000000","0.0154622790683165","46.3862184800000000","46.4200000000000000","46.3900000000000000","0.9617458191332734","0.1353000000000000","10.0000000000000000","1574755265456","0.2000000000000000","25","1","2019-11-26 16:01:05","2019-11-26 16:01:05","195","46.3800000000000000"
"375787708775942144","1","101","46.3800000000000000","0.0033822696007920","46.3657538775000000","46.3700000000000000","46.3500000000000000","0.9665672201789532","0.1353000000000000","10.0000000000000000","1574755325783","0.2000000000000000","25","1","2019-11-26 16:02:05","2019-11-26 16:02:05","170","46.3800000000000000"
"375788178630264832","1","101","46.3200000000000000","-0.0315366820793998","46.3550046100000000","46.3300000000000000","46.3200000000000000","0.9621306445847717","0.1353000000000000","10.0000000000000000","1574755381784","0.2000000000000000","25","1","2019-11-26 16:03:01","2019-11-26 16:03:01","193","46.3200000000000000"
"375788691073550336","1","101","46.2500000000000000","-0.0548252491206674","46.2831587200000000","46.2600000000000000","46.2500000000000000","0.9565657153275609","0.1353000000000000","10.0000000000000000","1574755442880","0.2000000000000000","25","1","2019-11-26 16:04:02","2019-11-26 16:04:02","222","46.2500000000000000"
"375789221728503809","1","101","46.3100000000000000","-0.0088267481968108","46.3174799000000000","46.3200000000000000","46.3100000000000000","0.9580976453838774","0.1353000000000000","10.0000000000000000","1574755506131","0.2000000000000000","25","1","2019-11-26 16:05:06","2019-11-26 16:05:06","214","46.3100000000000000"
"375789674428123136","1","101","46.2859709667666601","-0.0342120682333399","46.3201830350000000","46.3200000000000000","46.3000000000000000","0.9514135123194439","0.1353000000000000","10.0000000000000000","1574755560105","0.2000000000000000","23","1","2019-11-26 16:06:00","2019-11-26 16:06:00","249","0E-16"
"375790177979484160","1","101","46.2824038249965442","-0.0272692950034558","46.3096731200000000","46.2900000000000000","46.2700000000000000","0.9588645301803944","0.1353000000000000","10.0000000000000000","1574755620133","0.2000000000000000","23","1","2019-11-26 16:07:00","2019-11-26 16:07:00","210","0E-16"
"375790681279186944","1","101","46.3284669479564922","0.0038717479564922","46.3245952000000000","46.3400000000000000","46.3300000000000000","0.9604001417648177","0.1353000000000000","10.0000000000000000","1574755680133","0.2000000000000000","23","1","2019-11-26 16:08:00","2019-11-26 16:08:00","202","0E-16"
"375791183865858048","1","101","46.2822773481143603","-0.0263690168856397","46.3086463650000000","46.3000000000000000","46.2900000000000000","0.9607844287674966","0.1353000000000000","10.0000000000000000","1574755740047","0.2000000000000000","23","1","2019-11-26 16:09:00","2019-11-26 16:09:00","200","0E-16"
"375791686871959553","1","101","46.2529893765831386","-0.0433821209168614","46.2963714975000000","46.2700000000000000","46.2600000000000000","0.9609766299270898","0.1353000000000000","10.0000000000000000","1574755800010","0.2000000000000000","23","1","2019-11-26 16:10:00","2019-11-26 16:10:00","199","0E-16"
"375792190112942081","1","101","46.2136457555484936","-0.0581771744515064","46.2718229300000000","46.2200000000000000","46.2100000000000000","0.9584810110836592","0.1353000000000000","10.0000000000000000","1574755860001","0.2000000000000000","23","1","2019-11-26 16:11:00","2019-11-26 16:11:00","212","0E-16"
"375792699980924929","1","101","46.1777908296657666","-0.0857928353342334","46.2635836650000000","46.1900000000000000","46.1800000000000000","0.9607844287674966","0.1353000000000000","10.0000000000000000","1574755920782","0.2000000000000000","23","1","2019-11-26 16:12:00","2019-11-26 16:12:00","200","0E-16"
"375793198432012288","1","101","46.1209705097796657","-0.0519545352203343","46.1729250450000000","46.1600000000000000","46.1500000000000000","0.9609766299270898","0.1353000000000000","10.0000000000000000","1574755980202","0.2000000000000000","23","1","2019-11-26 16:13:00","2019-11-26 16:13:00","199","0E-16"
"375793701446502400","1","101","46.1115394715347707","-0.0537090134652293","46.1652484850000000","46.1200000000000000","46.1000000000000000","0.9582893090629844","0.1353000000000000","10.0000000000000000","1574756040166","0.2000000000000000","23","1","2019-11-26 16:14:00","2019-11-26 16:14:00","213","0E-16"
"375794204427438080","1","101","46.1404384323524612","0.0661291698524612","46.0743092625000000","46.1700000000000000","46.1500000000000000","0.9325718309151890","0.1353000000000000","10.0000000000000000","1574756100124","0.2000000000000000","23","1","2019-11-26 16:15:00","2019-11-26 16:15:00","349","0E-16"
"375794707475482624","1","101","46.2247223054127727","0.0942009654127727","46.1305213400000000","46.2500000000000000","46.2100000000000000","0.9621306445847717","0.1353000000000000","10.0000000000000000","1574756160094","0.2000000000000000","23","1","2019-11-26 16:16:00","2019-11-26 16:16:00","193","0E-16"
"375795210800351234","1","101","46.2422162281606278","0.0859741731606278","46.1562420550000000","46.2500000000000000","46.2100000000000000","0.9605922660493020","0.1353000000000000","10.0000000000000000","1574756220095","0.2000000000000000","23","1","2019-11-26 16:17:00","2019-11-26 16:17:00","201","0E-16"
"375795714427209728","1","101","46.1766886170106519","-0.0112999204893481","46.1879885375000000","46.1900000000000000","46.1600000000000000","0.9646357660620902","0.1353000000000000","10.0000000000000000","1574756280108","0.2000000000000000","23","1","2019-11-26 16:18:00","2019-11-26 16:18:00","180","0E-16"
"375796217131321344","1","101","46.1108895845824288","-0.0492006804175712","46.1600902650000000","46.1100000000000000","46.1000000000000000","0.9396873089304856","0.1353000000000000","10.0000000000000000","1574756340057","0.2000000000000000","23","1","2019-11-26 16:19:00","2019-11-26 16:19:00","311","0E-16"
"375796720884008960","1","101","46.1297217874763573","-0.0289520325236427","46.1586738200000000","46.1300000000000000","46.1000000000000000","0.9393114601879456","0.1353000000000000","10.0000000000000000","1574756400110","0.2000000000000000","23","1","2019-11-26 16:20:00","2019-11-26 16:20:00","313","0E-16"
